animeTitle	b'Youkai Watch Movie 4: Shadow Side - Oni-ou no Fukkatsu'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.82
animeUsers	492
animeRank	
animePopularity	
animeDescription	b'Taking place 30 years after the events of the original Youkai Watch TV series. There was once a 11 year old boy named Keita Amano who held a wristwatch that could command Youkai, he would make friends with the Youkai and fulfill a great many deeds. But when the boy grew up, he lost his ability to see Youkai. And as for the wristwatch that could control Youkai, its existence threatened to disturb the balance between human and Youkai worlds, so it was cast away into oblivion beyond time and space. Soon ... the story of the Youkai controlling wristwatch became but a legend. But then, something took place after many, many years had passed ... an epidemic Youkai virus known as Onimaro started affecting people with malevolent intentions and is spreading indefinitely, turning them into Kaodeka Oni and causing chaos throughout the city. With the end near, only the ones chosen by a new Youkai Watch can stand up against the upcoming threat and would save both Youkai and humans from certain destruction.\n\n(Source: Wiki)'
animeRelated	[b'Eiga Youkai Watch: Shadow Side - Oni-ou no Fukkatsu', b'Gegege no Kitarou (2007)', b'Youkai Watch', b'Youkai Watch: Shadow Side']
animeCharacters	[b'Amano, Natsume', b'Tsukinami, Touma', b'Kitarou', b'Komasan', b'Neko Musume', b'Medama Oyaji', b'Nezumi Otoko', b'Ittan Momen', b'Arihoshi, Akinori', b'Micchy']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nUshiro, Shinji\n\nDirector, Storyboard\n\n', b'\nHino, Akihiro\n\nScript, Executive Producer, Original Creator\n\n', b'\nKatou, Youichi\n\nScreenplay\n\n', b'\nNagano, Takuzou\n\nOriginal Character Design\n\n']
