animeTitle	Pic-lele
animeType	TV
animeNumEpisode	12
releaseDate	2013-12-07 00:00:00
endDate	2014-03-29 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16482
animeDescription	"Five anthropomorphic animal friends bond over their ukulele training. Aired as part of TOKYO MX's ""Everybody! Nico Rich"" show."
animeRelated	[]
animeCharacters	['Ufufu', 'Ain', 'Piyo', 'Rinrin', 'Nohohon']
animeVoices	['Nakaya, Sayaka', 'Tsukui, Ayami', 'Iwasaki, Miyuki', 'Uihara, Chie', 'Kahara, Yuu']
animeStaff	[['Namiki, Hiroshi', 'Director']]
