animeTitle	Clione no Akari
animeType	TV
animeNumEpisode	12
releaseDate	2017-07-12 00:00:00
endDate	2017-09-27 00:00:00
animeNumMembers	12910
animeScore	5.4
animeUsers	3624
animeRank	10651
animePopularity	4775
animeDescription	"The story centers around an illness-stricken, constantly bullied orphan girl named Minori. After one rainy day, she doesn't turn up at school, having been admitted into a hospital in a distant town. Two months pass, and the girl's two school friends, Takashi and Kyouko, receive a mysterious email with no sender listed. The email reveals a summer festival taking place at a nearby town...

(Source: ANN)"
animeRelated	[]
animeCharacters	['Tsukihashi, Kyouko', 'Aoi, Takashi', 'Amamiya, Minori', 'Okishima, Kousuke', 'Sayama, Shouta', 'Inoue, Sakura', 'Isozaki, Gen', 'Hama, Sayaka', 'Nagino, Yuna', 'Ichinose, Kaho']
animeVoices	['Hara, Natsuko', 'Ohira, Shunya', 'Matsumura, Sayuri', 'Ohashi, Misaki', 'Tsukino, Moa', 'Aoi, Kana', 'Fujita, Yuuki', 'Kageyama, Akari', 'Iida, Riho', 'Suzuki, Aina']
animeStaff	[['Ishikawa, Naoya', 'Director'], ['Izu, Kazuhiko', 'Sound Director'], ['Onaka, Takeshi', 'Script, Series Composition'], ['Sasaki, Rico', 'Inserted Song Performance']]
