animeTitle	Shakugan no Shana-tan II (Second)
animeType	Special
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.19
animeUsers	20382
animeRank	
animePopularity	2790
animeDescription	"Shana-tan specials bundled with the limited edition first and fifth volumes of the Shakugan no Shana II (Second) DVD and the limited edition Shakugan no Shana II (Second) guide book.

Episodes
#1: Shakugan no Shana-tan Begins
#2: Shakugan no Shana-tan & Yoshida: Konoe Fumina no Gyakushuu
#3: Shakugan no Shana-tan Revenge"
animeRelated	['Shakugan no Shana-tan', 'Shakugan no Shana II (Second)', 'Shakugan no Shana-tan S']
animeCharacters	['Shana', 'Sakai, Yuuji', 'Hecate', 'Daw, Margery', 'Yoshida, Kazumi', 'Carmel, Wilhelmina', 'Sabrac', 'Satou, Keisaku', 'Konoe, Fumina', 'Ike, Hayato']
animeVoices	['Kugimiya, Rie', 'Hino, Satoshi', 'Noto, Mamiko', 'Nabatame, Hitomi', 'Kawasumi, Ayako', 'Itou, Shizuka', 'Kuroda, Takaya', 'Nojima, Kenji', 'Nojima, Hirofumi']
animeStaff	[['Itou, Noizi', 'Original Character Design'], ['Otani, Kow', 'Music'], ['Takahashi, Yashichiro', 'Original Creator'], ['Ootsuka, Mai', 'Character Design']]
