animeTitle	b'Conception'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	4.62
animeUsers	32387
animeRank	
animePopularity	
animeDescription	"b'On his high school graduation day, Itsuki\'s cousin, Mahiru, tells him that she\'s pregnant. Just then, a gate of light emerges and transports the two into the world of Granvania. In this land, ""Impurities"" have been causing a disturbance to the Stars, ultimately plunging Granvania into chaos and disorder. And Itsuki, now revealed to be one who is fated to meet with the ""Star Maidens,"" is seen as Granvania\'s last hope and was thus given the task to produce ""Star Children"" and combat the ""impurities."" And unless the task is complete, Itsuki may never be able to return home.\n\n(Source: Wikipedia, edited)'"
animeRelated	[]
animeCharacters	[b'Yuge, Itsuki', b'Mana', b'Konatsuki, Mahiru', b'Alfie', b'Yuzuha', b'Femiruna', b'Ruka', b'Arie', b'Reone', b'Collet']
animeVoices	[b'\nOno, Yuuki\nJapanese\n', b'\nYurin\nJapanese\n', b'\nKatou, Emiri\nJapanese\n', b'\nKakuma, Ai\nJapanese\n', b'\nFujii, Yukiyo\nJapanese\n', b'\nFujita, Saki\nJapanese\n', b'\nOhmoto, Makiko\nJapanese\n', b'\nEndou, Aya\nJapanese\n', b'\nYamaguchi, Yuriko\nJapanese\n', b'\nShimoda, Asami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMotonaga, Keitarou\n\nDirector\n\n', b'\nEbina, Yasunori\n\nSound Director\n\n', b'\nSugimoto, Kousuke\n\nEpisode Director\n\n', b'\nKimura, Nobukage\n\nEpisode Director, Storyboard\n\n']
