animeTitle	Kakumeiki Valvrave 2nd Season
animeType	TV
animeNumEpisode	12
releaseDate	2013-10-10 00:00:00
endDate	2013-12-27 00:00:00
animeNumMembers	
animeScore	7.28
animeUsers	48747
animeRank	
animePopularity	1802
animeDescription	"Haruto and his comrades continue to fight against the forces of Dorssia. However, many things remain unanswered in the midst of battle, including the past of L-Elf and his fellow soldier's past, the destiny of the mysterious girl Liselotte, and the feelings of Haruto, Shouko, and Saki. The relationships and loyalty of each and every member of each army will be tested as the clash of ideals and power reaches its climax.

(Source: ANN)"
animeRelated	['Kakumeiki Valvrave']
animeCharacters	['Karlstein, L-elf', 'Rukino, Saki', 'Tokishima, Haruto', 'Sashinami, Shouko', 'Renbokouji, Akira', 'Kirschbaum, A-drei', 'Inuzuka, Kyuuma', 'Q-vier', 'Dorssia, Lieselotte W.', 'H-neun']
animeVoices	['Kimura, Ryouhei', 'Tomatsu, Haruka', 'Oosaka, Ryouta', 'Seto, Asami', 'Yuuki, Aoi', 'Fukuyama, Jun', 'Ono, Yuuki', 'Kaji, Yuki', 'Toyosaki, Aki', 'Miyano, Mamoru']
animeStaff	[['Miyakawa, Tomoko', 'Assistant Producer'], ['Matsuo, Kou', 'Director, Episode Director, Storyboard'], ['Mima, Masafumi', 'Sound Director'], ['Gotou, Keiji', 'Episode Director, Storyboard, Key Animation']]
