animeTitle	Gokukoku no Brynhildr
animeType	TV
animeNumEpisode	13
releaseDate	2014-04-06 00:00:00
endDate	2014-06-29 00:00:00
animeNumMembers	
animeScore	6.89
animeUsers	149596
animeRank	
animePopularity	565
animeDescription	"Venturing into the wilderness, the skeptical Ryouta Murakami and the ambitious Kuroneko were on a quest to prove the existence of extraterrestrial life when a tragic accident occurred, reaping Kuroneko of her life and leaving Ryouta in a critically injured state.

Ten years have passed since the disaster, and Ryouta is now living a normal life in high school. He vows to prove that aliens are real in honor of his late friend. A transfer student named Neko Kuroha unexpectedly arrives one day, bearing a striking resemblance to the late Kuroneko—even sharing a similar name. Most mysteriously, she seems to possess supernatural powers.

As Ryouta takes more interest in Neko, he is drawn into a deadly world where dangerous scientists hunt magic-wielding witches that have escaped from their secret research laboratory. Neko is one of these escapees, but there are many others who are in similar situations, and it's up to Ryouta to protect them from their would-be captors.

[Written by MAL Rewrite]
"
animeRelated	['Gokukoku no Brynhildr', 'Gokukoku no Brynhildr: Kara Sawagi']
animeCharacters	['Kuroha, Neko', 'Schlierenzauer, Kazumi', 'Tachibana, Kana', 'Murakami, Ryouta', 'Takatori, Kotori', 'Tokou, Nanami', 'Fujisaki, Mako', 'Wakabayashi, Hatsuna', 'Hashiratani, Kogorou', 'Ichijiku, Chisato']
animeVoices	['Taneda, Risa', 'Ichimichi, Mao', 'Suzaki, Aya', 'Satou, Rina', 'Tadokoro, Azusa', 'Numakura, Manami', 'Noto, Mamiko', 'Uchiyama, Yumi', 'Itou, Kentarou', 'Touchi, Hiroki']
animeStaff	[['Imaizumi, Kenichi', 'Director'], ['Tsuchiya, Masaki', 'Sound Director'], ['Takamura, Yuuta', 'Episode Director'], ['Kitajima, Yukinori', 'Script, Series Composition']]
