animeTitle	b'Special Nu World'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.81
animeUsers	146
animeRank	
animePopularity	
animeDescription	"b""Readyyy! is Sega's male idol training smartphone game. Within it is a 5-unit group called SP!CA. This is their official music video for their Special Nu World song. SP!CA is the third unit that received a MV.\n\n(Source: Readyyy Project Wikia)\n"""
animeRelated	[b'Readyyy!', b'Go Now!', b'Daitan Futeki ni Koi Shitai', b'Beat in Love (2018)', b'Kimi ga Mita Sora wa']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
