animeTitle	Chou Denji Machine Voltes V
animeType	TV
animeNumEpisode	40
releaseDate	
endDate	
animeNumMembers	
animeScore	7.43
animeUsers	2981
animeRank	
animePopularity	6289
animeDescription	"From out of nowhere, a mysterious alien race known as the Boazan Forces has invaded the Earth. A group of individuals specially trained to handle this kind of situation has been unleashed. Kenichi, Ippei, Daijirou, Hiyoshi & Megumi are the pilots of the Choudenji Machine Voltes V (5), Earth's defense against the Boazan and their terrible Beast Warriors. The plot thickens as the Go Brothers discover their true heritage and the truth behind their father's disappearance. Conflicts and mixed emotions hinder the Go Brothers at times but due to their unwavering desire to find their dad, they must go to the place where it all started. With the help of the rebels based on Earth and on the aliens' homeworld, the Voltes Team has another mission, remove the tyrant Zu Zanbajil and liberate the people of Boazan.

(Source: ANN)"
animeRelated	['Chou Denji Robo Combattler V', 'Toushou Daimos']
animeCharacters	['Heinel, Prince', 'Gou, Kenichi', 'Oka, Megumi', 'Gou, Daijirou', 'Mine, Ippei', 'Gou, Hiyoshi', 'Bergan', 'Zu Zambajil, Emperor', 'Gururu, General', 'Doir, General']
animeVoices	['Ichikawa, Osamu', 'Shiraishi, Yukinaga', 'Ueda, Miyuki', 'Genda, Tesshou', 'Sogabe, Kazuyuki', 'Ohara, Noriko', 'Utsumi, Kenji', 'Terashima, Mikio', 'Shiomi, Ryusuke', 'Katou, Seizou']
animeStaff	[['Tomino, Yoshiyuki', 'Producer'], ['Nagahama, Tadao', 'Director, Sound Director, Theme Song Lyrics, Chief Animation Director'], ['Yamazaki, Kazuo', 'Episode Director, Storyboard, Key Animation, Animation Director'], ['Yotsuji, Takao', 'Episode Director']]
