animeTitle	Taneyamagahara no Yoru
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.55
animeUsers	1370
animeRank	
animePopularity	7107
animeDescription	Four workers wait out the night around a campfire. Three of them are talking about different things when they start hearing strange noises. Their discussion wakes up a sleeping companion who promptly goes back to sleep only to start having dreams...
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
