animeTitle	Minna Atsumare! Falcom Gakuen SC
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.05
animeUsers	874
animeRank	
animePopularity	8490
animeDescription	"The warriors who have been warped by the rampaging power of Justice have been summoned into the world of Xanadu. It is up to Dark Fact, a former villain, and principal Lappi to re-educate these students.

(Source: AniDB)"
animeRelated	['Minna Atsumare! Falcom Gakuen', 'Eiyuu Densetsu: Sora no Kiseki The Animation', 'Minna Atsumare! Falcom Gakuen SC Special', 'Minna Atsumare! Falcom Gakuen 3rd Season']
animeCharacters	['Bright, Estelle', 'Schwarzer, Rean', 'Christin, Adol', 'Bright, Joshua', 'Bannings, Lloyd', 'Lenheim, Olivier', 'Renne', 'Claussell, Fie ', 'Reinford, Alisa', 'MacDowell, Elie']
animeVoices	['Kanda, Akemi', 'Uchiyama, Kouki', 'Kaji, Yuki', 'Saiga, Mitsuki', 'Kakihara, Tetsuya', 'Koyasu, Takehito', 'Nishihara, Kumiko', 'Kanemoto, Hisako', 'Horie, Yui', 'Endou, Aya']
animeStaff	[['Yamashita, Kenichi', 'Script'], ['Falcom Sound Team J.D.K', 'Theme Song Composition, Music'], ['Arakubo, Daisuke', 'Original Creator']]
