animeTitle	Crescendo Story
animeType	Music
animeNumEpisode	1
releaseDate	2018-06-19 00:00:00
endDate	
animeNumMembers	
animeScore	5.27
animeUsers	395
animeRank	
animePopularity	12139
animeDescription	Official music video for the song Crescendo Story by the fictional band Irodorimidori. It is the 28th song in the franchise and focuses on Shirona Tsukisuzu. 
animeRelated	['Very! Merry!! Session!!!', 'Change Our Mirai!: Our 7 Lights']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
