animeTitle	Net Ghost Pipopa
animeType	TV
animeNumEpisode	51
releaseDate	2008-04-06 00:00:00
endDate	2009-03-29 00:00:00
animeNumMembers	1843
animeScore	6.76
animeUsers	540
animeRank	4818
animePopularity	9652
animeDescription	About a young boy named Akigawa Yuta who gets sucked into a virtual world through his cell phone. He meets three strange creatures that travel with him on Yuta's adventure in this strange new world.
animeRelated	[]
animeCharacters	['Pat', 'Akikawa, Yuuta', 'Sobue, Hikaru', 'Pot', 'Pit', 'Shindou, Mamoru', 'Matsushita, Shuuzou', 'Theodore', 'Akiyama, Kenta', 'Bat']
animeVoices	['Yabe, Masahito', 'Satou, Rina', 'Yahagi, Sayuri', 'Arai, Satomi', 'Shiraishi, Ryouko', 'Sasajima, Kaoru', 'Yonaga, Tsubasa', 'Ookawa, Tooru', 'Shimura, Tomoyuki', 'Gibu, Yuko']
animeStaff	[['Yamakawa, Norio', 'Producer'], ['Kimura, Shinichiro', 'Director'], ['Suzuki, Iku', 'Episode Director, Storyboard'], ['Tamagawa, Makoto', 'Episode Director, Storyboard']]
