animeTitle	b'Bakunyuu Shimai'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.22
animeUsers	1349
animeRank	
animePopularity	
animeDescription	"b""One night, whilst impoverished student Tashiro Shinji was sleeping in his apartment, a beautiful and naked girl appeared in a flash of light. In fact, she's actually an alien named Julia who is searching for her elder sister.\n\n(Source: AnimeNfo)"""
animeRelated	[]
animeCharacters	[b'Yuria', b'Alisa']
animeVoices	[b'\nItou, Shizuka\nJapanese\n']
animeStaff	[]
