animeTitle	Mirai Kara no Message
animeType	OVA
animeNumEpisode	1
releaseDate	1989-01-01 00:00:00
endDate	
animeNumMembers	128
animeScore	
animeUsers	
animeRank	12085
animePopularity	17357
animeDescription	An educational film about adoption discrimination in Japan. How those who are adopted are seen as rejects of society and the public koseki allows for companies to see the family tree of applicants and not hire/fire employees based on the fact that they're adopted.
animeRelated	['Kizuna: Ningen no Uta Part 2']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
