animeTitle	"Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori"
animeType	TV
animeNumEpisode	24
releaseDate	2016-10-04 00:00:00
endDate	2017-03-28 00:00:00
animeNumMembers	
animeScore	6.24
animeUsers	27899
animeRank	
animePopularity	1551
animeDescription	"Kogorou Akechi is the founder of a private investigation firm known as the Boy Detectives' Club. Together, this group takes on cases both great and small. One of their junior members, Kensuke Hanasaki, is out solving a case one day when he happens upon Yoshio Kobayashi, a mysterious amnesiac boy with an inability to die. After seeing his abilities in action, Kensuke offers Yoshio a deal: join the Boy Detectives' Club and help them solve cases, and in exchange he will find a way to help Yoshio die.

The apathetic Yoshio accepts this deal begrudgingly, unaware of how different his life will become. Although he does not have much use for people, he gradually begins to acknowledge the group as he spends more time with them while solving cases.

Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori follows Akechi and the rest of the Boy Detectives' Club as they solve the various cases they are given, all while combating a hidden threat from the shadows—""The Fiend with Twenty Faces.""

[Written by MAL Rewrite]"
animeRelated	"['Trickster', 'Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori OVA', 'Kimi dake no Boku de Iru kara']"
animeCharacters	['Kobayashi, Yoshio', 'Hanasaki, Kensuke', 'Kaijin Nijuu Mensou', 'Akechi, Kogorou', 'Noro, Makoto', 'Inoue, Ryou', 'Ootomo, Hisa', 'Nakamura, Nao', 'Katsuda, Masaharu', 'Yamane, Tasuku']
animeVoices	['Yamashita, Daiki', 'Oosaka, Ryouta', 'GACKT', 'Ono, Daisuke', 'Kido, Ibuki', 'Umehara, Yuuichirou', 'Furukawa, Makoto', 'Tadokoro, Azusa', 'Masumoto, Takuya', 'Yamaya, Yoshitaka']
animeStaff	[['Kisara, Youhei', 'Producer'], ['Mukai, Masahiro', 'Director, Episode Director, Storyboard'], ['Gou, Fumiyuki', 'Sound Director'], ['Grelle, Josh', 'Script']]
