animeTitle	b'Shittakaburi Kaitsuburi'
animeType	Music
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""A Shiga prefecture promotional anime for Lake Biwa. The Lake Biwa Otsu Prince Hotel has a mascot called Prince Nio (named after the hotel 'Prince' and 'Nio' after the port the hotel is located on). \n\nThe mascot was also used for a local news program, real estate commercials, cheering on the local schools' sport events, and other promotional needs for the region under Biwako Broadcasting and Fujigumi's copyright stake in the mascot.\n\nThey released a series of family-friendly sing-a-long CDs and animated music video DVDs. """
animeRelated	[b'Shigutsman']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
