animeTitle	Datenshi-tachi no Kyouen
animeType	OVA
animeNumEpisode	1
releaseDate	1985-03-10 00:00:00
endDate	
animeNumMembers	
animeScore	5.04
animeUsers	257
animeRank	
animePopularity	11687
animeDescription	A family who gets in way over their heads when the younger sister ends up owing the yakuza money. Since she can't pay, the gang members take her instead to use as a sexual toy.  She then enacts gruesome revenge upon her perpetrators.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
