animeTitle	Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III
animeType	TV
animeNumEpisode	12
releaseDate	2020-10-03 00:00:00
endDate	2020-12-19 00:00:00
animeNumMembers	
animeScore	7.45
animeUsers	190188
animeRank	
animePopularity	395
animeDescription	"When Bell encounters a frightened little girl in the dungeon, he doesn't think twice to help. But this simple act of kindness has consequences. The girl is a monster and proof that monsters can be eerily human. And not everyone can accept this...

(Source: HIDIVE)"
animeRelated	['Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV']
animeCharacters	['Cranel, Bell', 'Hestia', 'Wallenstein, Ais', 'Lion, Ryuu', 'Arde, Liliruca', 'Sanjouno, Haruhime', 'Freya', 'Wiene', 'Hermes', 'Yamato, Mikoto']
animeVoices	['Matsuoka, Yoshitsugu', 'Minase, Inori', 'Oonishi, Saori', 'Hayami, Saori', 'Uchida, Maaya', 'Chisuga, Haruka', 'Hidaka, Rina', 'Saitou, Souma', 'Akasaki, Chinatsu']
animeStaff	[['Tachibana, Hideki', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Iguchi, Yuka', 'Theme Song Performance'], ['sajou no hana', 'Theme Song Performance']]
