animeTitle	b'Gensou Jotan Ellcia'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	5.96
animeUsers	685
animeRank	
animePopularity	
animeDescription	b'The Sacred Book of the land of Eija has been rediscovered and with it the legends of a mysterious and all powerful ship. Now Princess Crystal of Megaronia has set forth on a quest to recover the ship and its ultimate weaponry. All that stands between her and total domination of the world is a small group of piratical misfits. Swords, sorcery and technology blend to form a mesmerizing tale of Good vs. Evil in Ellcia. (Source: ANN)'
animeRelated	[]
animeCharacters	[b'Eira', b'Nera', b'Moora', b'Shiru', b'Shinshin', b'Maeyard', b'Nupure', b'Donner', b'Ganak', b'Sara']
animeVoices	[b'\nIkura, Kazue\nJapanese\n', b'\nYokoyama, Chisa\nJapanese\n', b'\nEmori, Hiroko\nJapanese\n', b'\nChiko\nJapanese\n', b'\nHisakawa, Aya\nJapanese\n', b'\nMayama, Ako\nJapanese\n', b'\nTsujitani, Kouji\nJapanese\n', b'\nGinga, Banjou\nJapanese\n', b'\nMizutani, Yuuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKogawa, Yoriyasu\n\nDirector, Screenplay\n\n', b'\nUmetsu, Yasuomi\n\nCharacter Design\n\n', b'\nLee, Amanda Winn\n\nADR Director\n\n', b'\nHashimoto, Shinji\n\nKey Animation\n\n']
