animeTitle	Monster High: Kowa-ike Girls
animeType	ONA
animeNumEpisode	8
releaseDate	2014-10-22 00:00:00
endDate	2014-12-10 00:00:00
animeNumMembers	
animeScore	5.48
animeUsers	453
animeRank	
animePopularity	10774
animeDescription	An anime adaptation of the popular Mattel fashion doll line 'Monster High'.
animeRelated	[]
animeCharacters	['Draculaura', 'Vondergeist, Spectra', 'de Nile, Cleo', 'Wolf, Clawdeen', 'Stein, Frankie', 'Blue, Lagoona', 'Bominable, Abbey', 'Yelps, Ghoulia']
animeVoices	['Hamasaki, Nana', 'Minagawa, Junko', 'Saitou, Aya', 'Yonezawa, Madoka', 'Date, Arisa']
animeStaff	[['Watanabe, Shinichi', 'Director'], ['Mieno, Hitomi', 'Script'], ['Yuki, Shinzou', 'Art Director'], ['Kitakata, Masami', 'Sound Effects']]
