animeTitle	Gift±
animeType	ONA
animeNumEpisode	20
releaseDate	2018-09-21 00:00:00
endDate	2018-09-28 00:00:00
animeNumMembers	900
animeScore	
animeUsers	
animeRank	15763
animePopularity	11414
animeDescription	"With the growing demand for high-quality organ transplants in Japan, many underground organizations have carried out kidnapping and murder operations to obtain organs for sale; surgeon doctors also started practicing. It even began to intervene in outside countries like China.

Our protagonist, Tamaki Suzuhara, a beautiful but mysterious high school girl, tries to find someone very important to her who is currently missing. She joined an illegal organ trafficking network, which kidnapped those who were judged ""morally cure"" for morphological, surgical removal of organs.

Let's see where this bloody journey and Tamaki Suzuhara's moral dilemma will lead. Can she find what she wants?"
animeRelated	['Gift±']
animeCharacters	['Suzuhara, Tamaki', 'Aizawa, Kanan', 'Atou, Keisuke', 'Hanabusa, Takuma', 'Akimitsu, Takashi']
animeVoices	['Umeda, Ayaka', 'Sasaki, Hitomi', 'Takei, Kazuho', 'Saitou, Hironori', 'Onitsuka, Shingo']
animeStaff	[['Nagate, Yuka', 'Original Creator, Original Character Design'], ['Takahashi, Tatsuya', 'Key Animation']]
