animeTitle	BanG Dream! Garupa☆Pico
animeType	ONA
animeNumEpisode	26
releaseDate	2018-07-05 00:00:00
endDate	2018-12-27 00:00:00
animeNumMembers	
animeScore	7.78
animeUsers	8997
animeRank	
animePopularity	4231
animeDescription	Mini anime series featuring the girls from Girls Band Party!
animeRelated	['BanG Dream! Garupa☆Pico Comic Anthology', 'BanG Dream!', 'BanG Dream! Garupa☆Pico: Oomori']
animeCharacters	['Minato, Yukina', 'Aoba, Moca', 'Tsurumaki, Kokoro', 'Ichigaya, Arisa', 'Toyama, Kasumi', 'Imai, Lisa', 'Hikawa, Sayo', 'Mitake, Ran', 'Seta, Kaoru', 'Shirokane, Rinko']
animeVoices	['Aiba, Aina', 'Misawa, Sachika', 'Itou, Miku', 'Itou, Ayasa', 'Terakawa, Aimi', 'Nakashima, Yuki', 'Kudou, Haruka', 'Sakura, Ayane', 'Tadokoro, Azusa', 'Akesaka, Satomi']
animeStaff	[['Miyajima, Seiya', 'Director, Art Director'], ['Kinutani, Soushi', 'Storyboard'], ['Sakura, Ayane', 'Theme Song Performance'], ['Itou, Miku', 'Theme Song Performance']]
