animeTitle	Doamaiger D
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	5.31
animeUsers	649
animeRank	
animePopularity	9830
animeDescription	"Kyougoku Daijirou is the 15th generation owner of the Kyoto sweets shop Amashoudou. One day, Daijirou discovers a giant robot named Doamaiger D in his store's basement. At the same time, enemies called ""Mekaijuu"" appear in Kyoto and begin wreaking havoc.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Houdou, Anna', 'Kyougoku, Daijirou']
animeVoices	['Naruse, Eimi', 'Murai, Ryouta']
animeStaff	[['Iwasaki, Takuya', 'Producer']]
