animeTitle	Chuunibyou demo Koi ga Shitai! Ren Specials
animeType	Special
animeNumEpisode	7
releaseDate	2014-03-19 00:00:00
endDate	2014-09-17 00:00:00
animeNumMembers	
animeScore	7.12
animeUsers	27586
animeRank	
animePopularity	2283
animeDescription	"The charming cast consisting of Rikka Takanashi and her friends continues spending time together through seven short episodes of fun games and idle chatter. Discover what is hidden inside Sanae Dekomori's hair buns, as well as other useless but fun facts about the beloved characters in Chuunibyou demo Koi ga Shitai! Ren Specials. 

[Written by MAL Rewrite]"
animeRelated	['Chuunibyou demo Koi ga Shitai! Ren']
animeCharacters	['Takanashi, Rikka', 'Dekomori, Sanae', 'Nibutani, Shinka', 'Tsuyuri, Kumin', 'Togashi, Yuuta', 'Shichimiya, Satone', 'Takanashi, Touka', 'Isshiki, Makoto', 'Togashi, Kuzuha', 'Tsukumo, Nanase']
animeVoices	['Uchida, Maaya', 'Uesaka, Sumire', 'Akasaki, Chinatsu', 'Asakura, Azumi', 'Fukuyama, Jun', 'Nagatsuma, Juri', 'Sendai, Eri', 'Hoshi, Souichirou', 'Fukuhara, Kaori', 'Inoue, Kikuko']
animeStaff	[]
