animeTitle	Accel World: Infinite∞Burst
animeType	Movie
animeNumEpisode	1
releaseDate	2016-07-23 00:00:00
endDate	
animeNumMembers	
animeScore	6.64
animeUsers	25421
animeRank	
animePopularity	2184
animeDescription	"In 2046, many aspects of life are carried out on a virtual network. No matter how advanced the time becomes, however, bullying never disappears. Haruyuki is one of the bullied students. However, one day he is contacted by Kuroyukihime, the most famous person in the school. ""Wouldn't you like to 'accelerate' and go further ahead, boy?"" Haruyuki is introduced to the ""Accel World"" and decides to fight as Kuroyukihime's knight.

(Source: Official site)"
animeRelated	['Accel World']
animeCharacters	['Kuroyukihime', 'Arita, Haruyuki', 'Kurashima, Chiyuri', 'Mayuzumi, Takumu', 'Megami Nýx', 'Tsukiori, Risa', 'Kouzuki, Yuniko', 'Kurasaki, Fuuko', 'Ash Roller', 'Yellow Radio']
animeVoices	['Misawa, Sachika', 'Kaji, Yuki', 'Toyosaki, Aki', 'Asanuma, Shintaro', 'Yuuki, Aoi', 'Akasaki, Chinatsu', 'Hidaka, Rina', 'Endou, Aya', 'Suzumura, Kenichi', 'Ishida, Akira']
animeStaff	[['Nakayama, Nobuhiro', 'Producer'], ['Obara, Masakazu', 'Director'], ['KOTOKO', 'Theme Song Performance'], ['ALTIMA', 'Theme Song Performance']]
