animeTitle	Ryuu Seiki
animeType	OVA
animeNumEpisode	2
releaseDate	1988-10-26 00:00:00
endDate	1988-12-25 00:00:00
animeNumMembers	1861
animeScore	5.64
animeUsers	717
animeRank	9949
animePopularity	9625
animeDescription	"The story of a young girl and a young dragon. Naturally, they are the best of friends, and naturally the rest of the world is against them both. However, when demons decide to trash their world, they side with those who have always been against them.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Carmine', 'Rulishia', 'Riko', 'Sagara', 'Demon King', 'Booster Dragon']
animeVoices	['Seki, Toshihiko', 'Honda, Chieko', 'Takamori, Yoshino', 'Genda, Tesshou']
animeStaff	[['Kitazume, Hiroyuki', 'Storyboard, Animation Director, Character Design'], ['Shimono, Tetsuhito', 'Background Art, Art Director'], ['Kanai, Jirou', 'Key Animation'], ['Satou, Hiroaki', 'Background Art']]
