animeTitle	b'Space Travelers The Animation'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.33
animeUsers	212
animeRank	
animePopularity	
animeDescription	b'In the New Cosmic Century 038, humanity is suddenly attacked by an unknown alien civilization known as the Orbital Ring System. Soon, the entire Earth Civilization Sphere has been cut off from the space colonies, and is under the control of the ORS. Only Hayabusha Jetter, along with his band of misfit space pirates and smugglers, can break through ORS lines.\n\n(Source: Wikipedia)'
animeRelated	[]
animeCharacters	[b'Jetter', b'Hoi', b'Papilion']
animeVoices	[b'\nMiki, Shinichiro\nJapanese\n', b'\nChiba, Shigeru\nJapanese\n', b'\nMitsuishi, Kotono\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFreeman, Crispin\n\nScript, ADR Director\n\n', b'\nMotohiro, Katsuyuki\n\nOriginal Creator\n\n', b'\nWatanabe, Toshiyuki\n\nMusic\n\n', b'\nKamikubo, Yoshihiro\n\nArt Director\n\n']
