animeTitle	b'Fushigi na Somera-chan'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.87
animeUsers	5596
animeRank	
animePopularity	
animeDescription	b'The story follows the everyday life of Somera Nonomoto who can use the strongest kenpo, Nonomoto Mahou-ken, which is inherited from her mother with her younger sister Kukuru.\n\n(Source: Crunchyroll)'
animeRelated	[b'Fushigi na Somera-chan', b'Fushigi na Somera-chan Special']
animeCharacters	[b'Nonomoto, Somera', b'Nonomoto, Kukuru', b'Tendou, Shizuku', b'Matsushima, Ai']
animeVoices	[b'\nNakaya, Sayaka\nJapanese\n', b'\nHondo, Kaede\nJapanese\n', b'\nMomokawa, Rika\nJapanese\n', b'\nNaganawa, Maria\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nImazaki, Itsuki\n\nDirector, Character Design\n\n', b'\nOomuro, Masakatsu\n\nSound Director\n\n', b'\nChoboraunyopomi\n\nOriginal Creator\n\n', b'\nHatori, Fuuga\n\nMusic\n\n']
