animeTitle	b'Uta\xe2\x88\xbdKata'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.7
animeUsers	8186
animeRank	
animePopularity	
animeDescription	"b""It's the last day of the school term in Kamakura Girl's School, and summer is about to begin. Serious but polite 14-year-old Ichika Tachibana is excited to make her summer vacation with her friends a special break to remember! But little does Ichika know that this summer will be more special than she could have ever imagined.\n\nWhile cleaning in an unused school building, Ichika notices an image of an unfamiliar girl in place of her own reflection in a large mirror. Convinced by her friends that she was just seeing things, she is surprised to see the girl in the mirror later that day, holding her lost cell phone. Introducing herself as Manatsu Kuroki, she comes out of the mirror and hands Ichika's phone back\xe2\x80\x94and to Ichika's surprise, the stones on her cell phone charm have changed colors and now allow her to borrow the power of the 12 Djinn that watch over the world.\n\nUta Kata is a tale of a young girl who will realize new things through her interactions with these spirits. As the Djinn show her overwhelming sights, they will soon also bring to her overwhelming thoughts...\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Uta\xe2\x88\xbdKata', b'Uta\xe2\x88\xbdKata: Shotou no Futanatsu']
animeCharacters	[b'Tachibana, Ichika', b'Kuroki, Manatsu', b'Toudou, Kai', b'Toudou, Sei', b'Munakata, Michiru', b'Hinata, Michiko', b'Maki', b'Shirasaka, Shiho', b'Nakano, Tooru', b'Munakata, Rumiko']
animeVoices	[b'\nHonda, Youko\nJapanese\n', b'\nAsano, Masumi\nJapanese\n', b'\nCanna, Nobutoshi\nJapanese\n', b'\nTobita, Nobuo\nJapanese\n', b'\nTamura, Yukari\nJapanese\n', b'\nNagata, Ryoko\nJapanese\n', b'\nKakazu, Yumi\nJapanese\n', b'\nHiramatsu, Akiko\nJapanese\n', b'\nSasanuma, Akira\nJapanese\n', b'\nHonda, Takako\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nGotou, Keiji\n\nDirector, Episode Director, Storyboard, Key Animation, Principle Drawing\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nSokuza, Makoto\n\nEpisode Director\n\n', b'\nItou, Tatsufumi\n\nEpisode Director, Storyboard\n\n']
