animeTitle	b'Youjo Senki Movie'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	8.25
animeUsers	102776
animeRank	
animePopularity	
animeDescription	"b""With its armies sweeping across the continent, the Empire seems unstoppable. After securing victory over the remnants of the Republic's army, the Empire's ultimate victory is finally within reach. However, dark clouds are gathering in the East. The communist-led Russy Federation is mustering troops on its western border, preparing to enter the war. Supported by a detachment of Allied volunteer magicians\xe2\x80\x94among whom is Mary Sioux, the daughter of a soldier killed by Tanya Degurechaff\xe2\x80\x94the Federation is determined to spread the communist creed and bring the Empire to its knees.\n\nMeanwhile, Tanya and her battalion return to the imperial capital from the southern front. Upon their arrival, they are tasked with investigating troop movements on the border with the Federation. Any escalation of violence at this point may lead to new conflicts, plunging the world into a devastating global war.\n\nWill the Empire eventually emerge victorious from its struggle, or will it crumble in the face of superior enemies and radically different ideologies?\n\n[Written by MAL Rewrite]\n"""
animeRelated	[b'Youjo Senki', b'Youjo Senki Movie: Manner Eizou', b'Youjo Senki II']
animeCharacters	[b'Degurechaff, Tanya', b'Serebryakova, Viktoriya Ivanovna', b'von Zettour, Hans', b'von Lergen, Erich', b'Sioux, Mary', b'von Rudersdorf, Kurt', b'Weiss, Matheus Johann', b'von Schugel, Adelheid', b'Koenig, Wilibald', b'Grantz, Warren']
animeVoices	[b'\nYuuki, Aoi\nJapanese\n', b'\nHayami, Saori\nJapanese\n', b'\nOotsuka, Houchuu\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nTomatsu, Haruka\nJapanese\n', b'\nGenda, Tesshou\nJapanese\n', b'\nHamano, Daiki\nJapanese\n', b'\nTobita, Nobuo\nJapanese\n', b'\nKasama, Jun\nJapanese\n', b'\nKobayashi, Yuusuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUemura, Yutaka\n\nDirector, Episode Director, Storyboard\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nIhara, Kenta\n\nScript\n\n', b'\nMYTH & ROID\n\nTheme Song Performance\n\n']
