animeTitle	Made in Abyss Movie 2: Hourou Suru Tasogare
animeType	Movie
animeNumEpisode	1
releaseDate	2019-01-18 00:00:00
endDate	
animeNumMembers	
animeScore	8.34
animeUsers	23893
animeRank	
animePopularity	1890
animeDescription	"The movie is a compilation of episodes 9-13 of the 2017 television series. Riko and Reg descend to the third layer where Riko has her first experience of the Curse. They descend to the fourth layer where Riko's arm is injured by an Orbed Piercer and Reg tries to save her. Nanachi comes to their aid and saves Riko's poisoned arm. In return Nanachi asks Reg to kill her immortal companion Mitty. Nanachi then joins Riko and Reg in their quest to reach the bottom of the Abyss.

(Source: Wikipedia)"
animeRelated	['Made in Abyss', 'Made in Abyss Movie 3: Fukaki Tamashii no Reimei', 'Made in Abyss Movie 1: Tabidachi no Yoake']
animeCharacters	['Nanachi', 'Reg', 'Riko', 'Ouzen', 'Bondrewd', 'Mitty', 'Prushka', 'Lyza']
animeVoices	[]
animeStaff	[['Tsukushi, Akihito', 'Original Creator'], ['Yoshinari, Kou', 'Character Design'], ['Kise, Kazuchika', 'Character Design']]
