animeTitle	b'Vandread: Gekitou-hen'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.9
animeUsers	2632
animeRank	
animePopularity	
animeDescription	b'Vandread Gekitouhen (Vandread Turbulence), similiar to Vandread Taidouhen, is an OVA summary of Vandread the Second Stage plus several extra scenes\n\n(Source: AniDB)'
animeRelated	[b'Vandread: The Second Stage']
animeCharacters	[b'Elden, Jura Basil', b'Balblair, Parfet']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nHiguchi, Shinji\n\nDirector\n\n', b'\nKuroda, Kazuya\n\nCharacter Design\n\n', b'\nHigashi, Junichi\n\nArt Director\n\n', b'\nMiyao, Yoshikazu\n\nMechanical Design\n\n']
