animeTitle	Ninja Hattori-kun: Nin Nin Furusato Daisakusen no Maki
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.17
animeUsers	165
animeRank	
animePopularity	13078
animeDescription	"Screened as a triple feature with Doraemon: Nobita no Kaitei Kiganjou and Paman - Birdman ga Yattekita.

(Source: AniDB)"
animeRelated	['Doraemon Movie 04: Nobita no Kaitei Kiganjou', 'Perman: Birdman ga Yatte Kita!!', 'Ninja Hattori-kun']
animeCharacters	['Hattori, Kanzou', 'Hattori, Shinzou', 'Kemumaki, Kemuzou', 'Mitsuba, Kenichi', 'Kawai, Yumeko']
animeVoices	['Hori, Junko', 'Kimotsuki, Kaneta']
animeStaff	[['Sasagawa, Hiroshi', 'Director'], ['Fujiwara, Ryouji', 'Director'], ['Fujiko, Fujio F.', 'Original Creator'], ['Kikuchi, Shunsuke', 'Music']]
