animeTitle	Akebi no Hana: Maho
animeType	OVA
animeNumEpisode	1
releaseDate	2011-04-15 00:00:00
endDate	
animeNumMembers	
animeScore	5.72
animeUsers	1684
animeRank	
animePopularity	7513
animeDescription	"Naoki has left town for an unknown amount of time, leaving his precious girlfriend Maho, who promises to wait for him. 

Shortly after reuniting with Maho, Naoki learns that she is cheating on him... 

(Source: SubDesu-H) "
animeRelated	['Yama Hime no Hana']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
