animeTitle	Macross FB7: Ore no Uta wo Kike!
animeType	Movie
animeNumEpisode	1
releaseDate	2012-10-20 00:00:00
endDate	
animeNumMembers	
animeScore	6.32
animeUsers	1435
animeRank	
animePopularity	7236
animeDescription	"In 2059, five decades after the Space War I conflict seen in the first Macross story. Macross Frontier, the 25th New Macross Class super-long-distance colonization fleet, is journeying through the galaxy to a new paradise to call home. However, it is locked in a state of war with a strange enemy called Vajra.

Macross FB7 is the 30th anniversary work of the Macross franchise."
animeRelated	['Macross 7', 'Macross F']
animeCharacters	['Nome, Sheryl', 'Lee, Ranka', 'Nekki, Basara', 'Jenius, Mylene Flare', 'Lee, Ozma', 'Margot, Bobby', 'Klang, Klan', 'Blanc, Mikhail', 'Angelloni, Luca', 'Berstein, Kanaria']
animeVoices	['Endou, Aya', 'Nakajima, Megumi', 'Konishi, Katsuyuki', 'Miyake, Kenta', 'Toyoguchi, Megumi', 'Kamiya, Hiroshi', 'Fukuyama, Jun', 'Kuwashima, Houko']
animeStaff	"[['Mima, Masafumi', 'Sound Director'], ['Nakajima, Megumi', 'Theme Song Performance'], [""May'n"", 'Theme Song Performance'], ['Fukuyama, Yoshiki', 'Theme Song Performance']]"
