animeTitle	b'Over Drive'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.56
animeUsers	18659
animeRank	
animePopularity	
animeDescription	"b'Tour de France, it is the biggest bicycle race in the world. Now, a new achievement is about to be recorded in the history of Tour de France. The top racer is a Japanese boy named Shinozaki Mikoto.\n\n""Why don\'t you join our bicycle club?"" said Fukazawa, Shinozaki Mikoto\'s secret love.\n\nUnfortunately, despite being a high school student, he doesn\'t know how to ride a bike. With no real idea of what the bicycle club is, he earnestly practices. After he overcomes this challenge, while he pedals along, something that was smoldering in his mind for 15 years ignites.\n\n""I want to devote myself to bike riding.""\n\nExperiencing failure with his friends and rivals, he pedals towards becoming the top racer.\n\n(Source: AnimeNfo)'"
animeRelated	[b'Over Drive']
animeCharacters	[b'Shinozaki, Mikoto', b'Yamato, Takeshi', b'Fukazawa, Yousuke', b'Fukazawa, Yuki', b'Terao, Kouichi', b'Hyoudou, Naoto', b'Asahi, Kaho']
animeVoices	[b'\nKaji, Yuki\nJapanese\n', b'\nTaniyama, Kishou\nJapanese\n', b'\nYasumura, Makoto\nJapanese\n', b'\nNazuka, Kaori\nJapanese\n', b'\nNojima, Kenji\nJapanese\n', b'\nOkiayu, Ryoutarou\nJapanese\n', b'\nYahagi, Sayuri\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKato, Takao\n\nDirector\n\n', b'\nTakadera, Takeshi\n\nSound Director\n\n', b'\nTakahashi, Hideya\n\nEpisode Director\n\n', b'\nAndou, Takashi\n\nEpisode Director, Storyboard\n\n']
