animeTitle	Nenga no Kizuna
animeType	ONA
animeNumEpisode	1
releaseDate	2014-11-24 00:00:00
endDate	
animeNumMembers	
animeScore	5.75
animeUsers	191
animeRank	
animePopularity	13472
animeDescription	"The video's story comes from greeting card website Nenga Aisatsujo's 6th annual contest, which asks participants to send in their heart-warming New Year's card memories. Sachiyo Okuno wrote the story and won the Japanese Postal Service Award, a new award this year.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
