animeTitle	b'Disney Tsum Tsum'
animeType	b'TV'
animeNumEpisode	37
releaseDate	
endDate	
animeNumMembers	
animeScore	5.77
animeUsers	213
animeRank	
animePopularity	
animeDescription	b'Disney Tsum Tsum is a series of shorts on YouTube following the adventures of Tsum Tsums in Disneyland.\n\n(Source: Disney Wikia)'
animeRelated	[b'Stitch!']
animeCharacters	[b'Stitch', b'the Platypus, Perry', b'Mouse, Mickey', b'the Pooh, Winnie', b'Tigger', b'Piglet', b'Duck, Donald', b'Dumbo', b'Mouse, Minnie', b'Duck, Daisy']
animeVoices	[]
animeStaff	[]
