animeTitle	ViVid Strike!
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.04
animeUsers	18308
animeRank	
animePopularity	2051
animeDescription	"Raised up in the same orphanage, Fuuka and Rinne were once close friends but parted company after a quarrel ended up with Rinne overwhelmed Fuuka with her martial art skills. Fuuka has a life in poverty after leaving the orphanage. An accidental encounter with renowned martial arts champion Einhald Stratos discovered Fuuka's hidden talent in fighting; Einhald offered Fuuka a job and coaching, encouraging her to meet up with Rinne again—in a ring.

(Source: ANN)"
animeRelated	['Mahou Shoujo Lyrical Nanoha ViVid', 'ViVid Strike! Specials']
animeCharacters	['Vivio', 'Berlinetta, Rinne', 'Stratos, Einhald', 'Reventon, Fuuka', 'Jeremiah, Sieglinde', 'Alpine, Lutecia', 'Nove', 'Wezley, Rio', 'Timil, Corona', 'Chevelle, Micaiah']
animeVoices	['Mizuhashi, Kaori', 'Ogura, Yui', 'Noto, Mamiko', 'Minase, Inori', 'Nakatsu, Mari', 'Kuwatani, Natsuko', 'Saitou, Chiwa', 'Kitamura, Eri', 'Fukuen, Misato', 'Asakawa, Yuu']
animeStaff	[['Nishimura, Junji', 'Director'], ['Yokota, Chikako', 'Sound Director'], ['Tanemura, Ayataka', 'Episode Director'], ['Tsuzuki, Masaki', 'Script, Original Creator']]
