animeTitle	Zinba
animeType	TV
animeNumEpisode	52
releaseDate	2013-08-24 00:00:00
endDate	2013-10-13 00:00:00
animeNumMembers	
animeScore	6.62
animeUsers	430
animeRank	
animePopularity	10583
animeDescription	"The juvenile Kan from the earth is summoned to the Kingdom of Toria , where he encounters attack from the giant creature Zinba, and he's rescued by the linker Shibuki and Uranus. Later, he accidentally gets on the linker squad DUX truck to the maze valley, finding in a cave a golden Zinba.

(Source: Lookus English YT Channel, edited)"
animeRelated	[]
animeCharacters	['Tian Yu', 'Zuo Mu', 'Ling, Yu Xuan', 'Yi Ge', 'Uluru', 'Di, Wen', 'Ai, Li', 'Chu Xia']
animeVoices	[]
animeStaff	[]
