animeTitle	SD Gundam Sangokuden Brave Battle Warriors
animeType	TV
animeNumEpisode	51
releaseDate	2010-04-03 00:00:00
endDate	2011-03-19 00:00:00
animeNumMembers	
animeScore	6.32
animeUsers	1194
animeRank	
animePopularity	7534
animeDescription	A Romance of the Three Kingdoms retelling using SD Gundams.
animeRelated	['Mobile Suit Gundam', 'Chou Deneiban SD Gundam Sangokuden Brave Battle Warriors', 'SD Gundam World: Sangoku Souketsuden']
animeCharacters	['Gundam, Ryuubi', 'Gundam, Chouhi', 'Gundam, Kan-u', 'Tallgeese, Ryofu', 'Gundam, Sonken', 'Gundam, Sousou', 'Qubeley, Chou-sen', 'Physalis Gundam, Sonsaku', 'Zaku, Toutaku', 'Zetaplus, Rikuson']
animeVoices	['Kaji, Yuki', 'Katou, Masayuki', 'Yasumoto, Hiroki', 'Miyauchi, Atsushi', 'Shimazaki, Nobunaga', 'Nomura, Kenji', 'Tsunematsu, Ayumi', 'Kitazawa, Riki', 'Komura, Tetsuo', 'Shimono, Hiro']
animeStaff	[['Suzuki, Kenichi', 'Director, Episode Director, Storyboard'], ['Kunihiro, Mori', 'Director, Episode Director, Storyboard'], ['Fujino, Sadayoshi', 'Sound Director'], ['Kosaka, Harume', 'Episode Director']]
