animeTitle	b'Mahou Shoujo Sonico\xe2\x98\x85Magica'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.81
animeUsers	9425
animeRank	
animePopularity	
animeDescription	"b""Parody opening for a spin-off of Mahou Shoujo Madoka Magica, starring the characters from the upcoming visual novel game SoniComi by Nitro+.\n\nThis was released by Nitro+ as an April fools' prank, complete with an official website announcing a full TV series. \n\n"""
animeRelated	[b'Mahou Shoujo Madoka\xe2\x98\x85Magica', b'SoniAni: Super Sonico The Animation']
animeCharacters	[b'Super Sonico', b'Makise, Kurisu', b'Ein', b'Saya', b'Sakihata, Rimi', b'Aoi, Sena', b'Azif, Al', b'Nishijou, Nanami', b'Orihara, Kozue', b'Watanuki, Fuuri']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nClariS\n\nTheme Song Performance\n\n', b'\nNitroplus\n\nCreator\n\n']
