animeTitle	b'Promare: Lio-hen'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.04
animeUsers	11065
animeRank	
animePopularity	
animeDescription	b'A direct continuation of Side:Galo set a day before the film. '
animeRelated	[b'Promare', b'Promare: Galo-hen']
animeCharacters	[b'Fotia, Lio ', b'Thyma']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nImaishi, Hiroyuki\n\nDirector\n\n', b'\nTatemoto, Itsuki\n\nScript, Publicity\n\n']
