animeTitle	Tales of Symphonia The Animation: Tethe'alla-hen Specials
animeType	Special
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	7.07
animeUsers	2728
animeRank	
animePopularity	6080
animeDescription	Specials that came with the DVDs of Tethe'alla Hen. The characters gather and talk about different things. How they are going to save the day, become the main love interest of the ladies, have increased screen-time, etc...
animeRelated	"[""Tales of Symphonia The Animation: Tethe'alla-hen""]"
animeCharacters	['Wilder, Zelos', 'Irving, Lloyd', 'Fujibayashi, Sheena', 'Combatir, Presea', 'Sage, Genius', 'Sage, Refill', 'Bryant, Regal', 'Aurion, Kratos', 'Brunel, Colette', 'Yggdrasill, Mithos']
animeVoices	['Onosaka, Masaya', 'Konishi, Katsuyuki', 'Okamura, Akemi', 'Kuwashima, Houko', 'Orikasa, Ai', 'Touma, Yumi', 'Ootsuka, Akio', 'Tachiki, Fumihiko', 'Mizuki, Nana', 'Tanaka, Hideyuki']
animeStaff	[['Bandai-Namco', 'Original Creator']]
