animeTitle	b'Himitsu no Akko-chan (Movie)'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.08
animeUsers	188
animeRank	
animePopularity	
animeDescription	"b""Taisho's father plans to construct an apartment building on a vacant land he owns behind his own house. The spot is a playing field for the kids in the neighborhood who will fight to keep it as it is.\n\n(Source: ANN)"""
animeRelated	[b'Himitsu no Akko-chan 2', b'Himitsu no Akko-chan: Umi da! Obake da!! Natsu Matsuri']
animeCharacters	[b'Kagami, Atsuko', b'Akatsuka, Daisaku', b'Naniwa, Kankichi', b'Unohana, Ganmo', b'Chikako']
animeVoices	[b'\nHorie, Mitsuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShibata, Hiroki\n\nDirector\n\n', b'\nHonma, Yusuke\n\nMusic\n\n', b'\nSeki, Hiromi\n\nPlanning\n\n', b'\nKanemori, Yoshinori\n\nAnimation Director\n\n']
