animeTitle	Fukashigi no Kazoekata
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.24
animeUsers	177
animeRank	
animePopularity	13958
animeDescription	"An anime commissioned by The National Museum of Emerging Science and Innovation (Miraikan for short) for its ""The Art of 10^64 -Understanding Vastness-"" exhibition which ran from August 1, 2012 to April 15, 2013.

This is an example about combinatorial explosion.
""I want to demonstrate how amazing combinatorial explosion is! Please don't stop me!""
Teacher and children tell you how difficult it is.

(Source: Official YouTube Page)"
animeRelated	['Graphillion: Kazoeage Oneesan wo Sukue']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
