animeTitle	Omakase! Miracle Cat-dan
animeType	TV
animeNumEpisode	32
releaseDate	2015-03-31 00:00:00
endDate	2016-02-23 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13583
animeDescription	"Nakagawa owns 10 cats in real life, and she adores one in particular named Mamitasu, the anime's namesake. The anime depicts the slapstick comedy of the idiosyncratic 10 cats and the folks in the unusual ""Nakagawa family."" 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Koyama, Kensuke', 'Onigawara Mama']
animeVoices	['Jizoudou, Takehiro', 'Satosaki, Mei']
animeStaff	[['Nakagawa, Shoko', 'Planning'], ['Sonoda, Hideki', 'Series Composition']]
