animeTitle	Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.23
animeUsers	46931
animeRank	
animePopularity	1851
animeDescription	Unaired episode bundled with the seventh Blu-ray and DVD volume of Amagi Brilliant Park.
animeRelated	['Amagi Brilliant Park']
animeCharacters	['Sento, Isuzu', 'Kanie, Seiya', 'Fleuranza, Latifa', 'Tiramie', 'Sylphy', 'Moffle', 'Salama', 'Muse', 'Macaron', 'Kobori']
animeVoices	['Kakuma, Ai', 'Uchiyama, Kouki', 'Fujii, Yukiyo', 'Nonaka, Ai', 'Kurosawa, Tomoyo', 'Kawasumi, Ayako', 'Tsuda, Minami', 'Aisaka, Yuuka', 'Shiraishi, Ryouko', 'Mikami, Shiori']
animeStaff	[['Takemoto, Yasuhiro', 'Director'], ['Kurosawa, Tomoyo', 'Theme Song Performance'], ['Tsuda, Minami', 'Theme Song Performance'], ['Mikami, Shiori', 'Theme Song Performance']]
