animeTitle	Princess Rouge
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.85
animeUsers	684
animeRank	
animePopularity	9551
animeDescription	"Yusuke, an orphan, literally has Rouge, the amnesiac oldest daughter of the Underworld's deposed royal family, fall out of the sky into his lap. She is soon followed by her two younger sisters and also their family's enemies. Rouge must decide if she wants her memory to return, while Yusuke must deal with the upheavals in his life the Princesses have caused.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Rouge', 'Mizuki, Yusuke', 'Kaige', 'Suzumura, Koine', 'Ota, Tsutomu', 'Raiga', 'Landlady', 'Meige', 'Vega', 'Regulus']
animeVoices	['Kikuchi, Shiho', 'Takagi, Wataru', 'Shiratori, Yuri', 'Sugawara, Sachiko', 'Morikawa, Toshiyuki', 'Okamoto, Yoshiko', 'Shiina, Hekiru', 'Kawamura, Maria', 'Hoshi, Souichirou']
animeStaff	[['Aono, Atsushi', 'Character Design'], ['Abe, Hiroyuki', 'Character Design'], ['Seki, Kazuhiko', 'Editing'], ['Yamasawa, Minoru', 'Animation Director, Character Design']]
