animeTitle	Dixia Cheng Yu Yongshi: Nizhuan Zhi Lun
animeType	ONA
animeNumEpisode	16
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	10830
animeDescription	"Sequel to Arad: Suming Zhi Men.

The Japanese broadcast premiered on July 4, 2020 at 1:53 a.m. on TV Tokyo."
animeRelated	['Arad: Suming Zhi Men']
animeCharacters	['Yi, Lucas', 'Xilan', 'Milia', 'Iris', 'Meimei', 'Mo, Xiaofang', 'Wang, Tiancai', 'Daba']
animeVoices	['Uchiyama, Kouki', 'Kondou, Takayuki', 'Hanamori, Yumiri', 'Ishikawa, Yui', 'Takahashi, Rie', 'Uchida, Shuu', 'Ono, Yuuki', 'Suzuki, Ryouta']
animeStaff	[['Abe, Noriyuki', 'Director'], ['Takada, Masatoyo', 'Episode Director'], ['Sekijima, Mayori', 'Script, Series Composition'], ['Akashiro, Aoi', 'Script']]
