animeTitle	b'Azumanga Daioh: Gekijou Tanpen'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.03
animeUsers	21032
animeRank	
animePopularity	
animeDescription	"b""In this short movie featuring familiar characters from Azumanga Daioh, Osaka is yet again having a strange dream of Chiyo-Chan's pigtails being posessed. As Chiyo-Chan's pigtails bounce out of the window, who knows if young Chiyo will ever be happy again.\n\n(Source: ANN)"""
animeRelated	[b'Azumanga Daioh']
animeCharacters	[b'Kasuga, Ayumu', b'Sakaki', b'Mihama, Chiyo', b'Takino, Tomo', b'Tanizaki, Yukari', b'Kagura', b'Mizuhara, Koyomi', b'Kaori', b'Maya']
animeVoices	[b'\nMatsuoka, Yuki\nJapanese\n', b'\nAsakawa, Yuu\nJapanese\n', b'\nKaneda, Tomoko\nJapanese\n', b'\nHiguchi, Chieko\nJapanese\n', b'\nHiramatsu, Akiko\nJapanese\n', b'\nKuwashima, Houko\nJapanese\n', b'\nTanaka, Rie\nJapanese\n', b'\nNogawa, Sakura\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNishikiori, Hiroshi\n\nDirector, Storyboard, Screenplay\n\n', b'\nTsuruoka, Youta\n\nSound Director\n\n', b'\nItou, Masumi\n\nTheme Song Composition, Theme Song Arrangement\n\n', b'\nAzuma, Kiyohiko\n\nOriginal Creator\n\n']
