animeTitle	Pipi Tobenai Hotaru
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15473
animeDescription	Based on the fairy tale novel series by Akira Ozawa (小沢昭巳).
animeRelated	['Tobenai Hotaru']
animeCharacters	['Pipi', 'Mimi']
animeVoices	['Fujita, Toshiko', 'Orikasa, Ai']
animeStaff	[['Okuwaki, Masaharu', 'Episode Director, Storyboard'], ['Nakamura, Mitsuki', 'Art Director'], ['Duke Aces', 'Inserted Song Performance'], ['Ono, Takaya', 'Character Design, Animation Director']]
