animeTitle	Hakkenden: Touhou Hakken Ibun 2nd Season
animeType	TV
animeNumEpisode	13
releaseDate	2013-07-07 00:00:00
endDate	2013-09-29 00:00:00
animeNumMembers	
animeScore	7.64
animeUsers	26497
animeRank	
animePopularity	2317
animeDescription	Second season of Hakkenden: Touhou Hakken Ibun.
animeRelated	['Hakkenden: Touhou Hakken Ibun']
animeCharacters	['Inuzuka, Shino', 'Inukai, Genpachi', 'Ao', 'Inukawa, Sousuke', 'Murasame', 'Inuta, Kobungo', 'Satomi, Riou', 'Inusaka, Keno', 'Hamaji', 'Osaki, Kaname']
animeVoices	['Chihara, Minori', 'Maeno, Tomoaki', 'Hino, Satoshi', 'Okamoto, Nobuhiko', 'Terashima, Takuma', 'Kamiya, Hiroshi', 'Miyake, Junichi', 'Takagaki, Ayahi', 'Namikawa, Daisuke']
animeStaff	[['Oomuro, Masakatsu', 'Producer'], ['Yamazaki, Mitsue', 'Director, Episode Director, Storyboard, Series Composition'], ['Yamasaki, Osamu', 'Director, Series Composition'], ['Gouda, Hozumi', 'Sound Director']]
