animeTitle	Hoshizora e Kakaru Hashi: Kakaru ka? Gakuensai ni Koi no Hashi
animeType	Special
animeNumEpisode	1
releaseDate	2011-12-21 00:00:00
endDate	
animeNumMembers	27585
animeScore	6.84
animeUsers	14560
animeRank	4449
animePopularity	3434
animeDescription	Shortly before the upcoming festival, a year after the end of episode 12, Daigo decides to find a girlfriend to dance with in the festival. Will he be able to do so?
animeRelated	['Hoshizora e Kakaru Hashi']
animeCharacters	['Minamikokubaru, Daigo', 'Nakatsugawa, Ui', 'Hinata, Ibuki', 'Sakai, Hina', 'Koumoto, Madoka', 'Hoshino, Kazuma', 'Hoshino, Ayumu', 'Toudou, Tsumugi', 'Toudou, Koyori', 'Toudou, Kasane']
animeVoices	['Hatano, Wataru', 'Nakamura, Eriko', 'Aoba, Ringo', 'Yoshida, Mayumi', 'Shimizu, Ai', 'Asanuma, Shintaro', 'Ohashi, Ayuru', 'Takahashi, Chiaki', 'Ookubo, Aiko', 'Kadowaki, Mai']
animeStaff	[['Shimizu, Ai', 'Theme Song Performance'], ['Agematsu, Noriyasu', 'Theme Song Lyrics, Theme Song Composition'], ['Fujima, Hitoshi', 'Theme Song Arrangement'], ['Feng', 'Original Creator']]
