animeTitle	Monkey Peak
animeType	ONA
animeNumEpisode	20
releaseDate	2018-10-26 00:00:00
endDate	2019-04-01 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13471
animeDescription	"The anime centers on a group of pharmaceutical company employees who embark on a mountain-climbing trip together and who encounter tragedy at the hands of mysterious monkeys when they reach the top. 

(Source: ANN)"
animeRelated	['Monkey Peak']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
