animeTitle	Sasuga no Sarutobi
animeType	TV
animeNumEpisode	69
releaseDate	1982-10-17 00:00:00
endDate	1984-03-11 00:00:00
animeNumMembers	1236
animeScore	6.43
animeUsers	237
animeRank	6496
animePopularity	10608
animeDescription	"Nikumaru, meaning ""meatball"" in Japanese, is a seventeen-year-old student at Ninja High School, a special school for the training of ninja. He is short and chubby, but he possesses a super technique known as the ""kamikaze"", where he stirs up a whirlwind with his feet. The series introduces his many adventures and pranks as Nikumaru meets with his rivals both in and out of school.

(Source: AnimeNfo)"
animeRelated	['Sasuga no Sarutobi']
animeCharacters	['Sarutobi, Nikumaru', 'Kiriga, Mako', 'Ogata Sensei']
animeVoices	['Mitsuya, Yuuji', 'Shimazu, Saeko', 'Wakamoto, Norio']
animeStaff	[['Shiba, Shigeharu', 'Sound Director'], ['Moriwaki, Makoto', 'Episode Director, Storyboard'], ['Tsuji, Masaki', 'Script'], ['Yanagawa, Shigeru', 'Script']]
