animeTitle	b'Strawberry Panic'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.29
animeUsers	49085
animeRank	
animePopularity	
animeDescription	"b'Nagisa Aoi begins her new school life as a transfer student at St. Miator\xe2\x80\x99s Girls Academy, one of three prestigious all-girls institutions atop Astraea Hill. Getting lost on her first day, Nagisa encounters a mysterious student whose elegance and charm is so bewitching, she ends up in the infirmary.\n\nThere to greet her when she awakens is Tamao Suzumi, her roommate, who enthusiastically introduces Nagisa to the daily life and social structure on campus. Most notably, Tamao informs her of the existence of an exceptional student representative among all three schools\xe2\x80\x94the Etoile, or ""star."" Eager to meet this person, Nagisa learns that the ethereal beauty she met earlier, Shizuma Hanazono, is the one and only Etoile herself! Not only that, Shizuma seems openly interested in Nagisa! Her interactions with Shizuma naturally make her a hot topic on campus; yet despite being so captivated, Nagisa can\xe2\x80\x99t help but wonder if something is off.\n\nStrawberry Panic! follows the everyday routines of Nagisa, Shizuma, and her friends at St. Miator\xe2\x80\x99s, St. Spica, and St. Lulim as they navigate through the challenge of relationships while confronting hidden feelings, lingering regrets, and new possibilities.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Strawberry Panic']
animeCharacters	[b'Hanazono, Shizuma', b'Aoi, Nagisa', b'Suzumi, Tamao', b'Minamoto, Chikaru', b'Nanto, Yaya', b'Ootori, Amane', b'Konohana, Hikari', b'Rokujou, Miyuki', b'Byakudan, Kagome', b'Kenjou, Kaname']
animeVoices	[b'\nNabatame, Hitomi\nJapanese\n', b'\nNakahara, Mai\nJapanese\n', b'\nShimizu, Ai\nJapanese\n', b'\nNakajima, Saki\nJapanese\n', b'\nKuwatani, Natsuko\nJapanese\n', b'\nKaida, Yuuko\nJapanese\n', b'\nMatsuki, Miyu\nJapanese\n', b'\nNoda, Junko\nJapanese\n', b'\nFukui, Yukari\nJapanese\n', b'\nKinoshita, Sayaka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWatanabe, Kazuya\n\nProducer\n\n', b'\nSakoi, Masayuki\n\nDirector, Episode Director, Storyboard\n\n', b'\nNagamura, Shinji\n\nEpisode Director\n\n', b'\nOotani, Hajime\n\nEpisode Director, Key Animation\n\n']
