animeTitle	b'Fin-tan'
animeType	b'ONA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Fin-tan, the popular twitter character of the Embassy of Finland in Tokyo, gets a new life as an anime hero in a novel promotion of the centennial of the Finnish independence in Japan. \n'
animeRelated	[b'Fin-tan to Sauna ni Nyuurou']
animeCharacters	[b'Fin-tan']
animeVoices	[b'\nHayami, Saori\nJapanese\n']
animeStaff	[]
