animeTitle	Discipline
animeType	OVA
animeNumEpisode	6
releaseDate	2003-04-11 00:00:00
endDate	2004-12-17 00:00:00
animeNumMembers	29991
animeScore	6.83
animeUsers	12922
animeRank	
animePopularity	3289
animeDescription	"The prestigious Saint Arcadia School has recently started admitting male students, and Takuro Hayami is among those joining. Elated at the prospect of sharing the dormitory with charming and well-endowed classmates, he fails to realize that the girls at the academy are sex-hungry deviants.

A regular student at first glance, Takuro instantly becomes the target of aggressive courting. When Yuuki Miyagishi, one of his roommates, manages to seduce him, she discovers his special ability: outstanding sexual prowess! Hayami's ""Ultimate Sex Power"" soon becomes known across campus, and what started as playful kinkiness turns into a fierce competition as every student club strives to persuade Takuro into joining their ranks. Hidden beneath Saint Arcadia's sugar-coated reputation lurks a desperate sexual power struggle—and the arrival of the new transfer student might just be the tipping point.

[Written by MAL Rewrite]"
animeRelated	['Discipline Zero']
animeCharacters	['Morimoto, Leona', 'Otokawa, Saori', 'Hayami, Takuro', 'Kaneda, Maiko', 'Miyagishi, Yuuki', 'Nonomura, Ruri', 'Morimoto, Reina', 'Himeki, Karen', 'Nishizaki, Momone', 'Kaori, Matsuno']
animeVoices	['Houjou, Asuka', 'Hagiwara, Emiko', 'Ogihara, Hideki', 'Shimazaki, Haruka', 'Sasagawa, Ayana', 'Nishizawa, Hiroka', 'Asai, Harumi', 'Morota, Kaoru', 'Ikeda, Chigusa']
animeStaff	[['Awai, Shigeki', 'Director, Storyboard'], ['Nakagawa, Tatsuto', 'Sound Director'], ['Makino, Yukihiro', 'Storyboard'], ['Sei Shoujo', 'Original Character Design, Original Creator']]
