animeTitle	Room Mate
animeType	TV
animeNumEpisode	12
releaseDate	2017-04-12 00:00:00
endDate	2017-06-28 00:00:00
animeNumMembers	
animeScore	4.75
animeUsers	8175
animeRank	
animePopularity	3714
animeDescription	"Another One Room series telling ""another story"" featuring male characters. "
animeRelated	['One Room']
animeCharacters	['Nishina, Aoi', 'Miyasaka, Shinya ', 'Ashihara, Takumi']
animeVoices	['Hanae, Natsuki', 'Toriumi, Kousuke', 'Maeno, Tomoaki']
animeStaff	[['Tateishi, Yayoi', 'Sound Director'], ['Shimoi, Aose', 'Script'], ['Hanae, Natsuki', 'Theme Song Performance'], ['Maeno, Tomoaki', 'Theme Song Performance']]
