animeTitle	Sore Ike! Anpanman: Roll to Laura Ukigumojou no Himitsu
animeType	Movie
animeNumEpisode	1
releaseDate	2002-07-13 00:00:00
endDate	
animeNumMembers	313
animeScore	
animeUsers	
animeRank	13502
animePopularity	14426
animeDescription	14th Anpanman movie.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Rollpanna', 'Cheese', 'Currypanman', 'Horrorman', 'Dokin-chan', 'Oji-san, Jam', 'Shokupanman', 'Melonpanna']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Tominaga, Miina', 'Yamadera, Kouichi', 'Yanagisawa, Michiyo', 'Kimotsuki, Kaneta', 'Tsuru, Hiromi', 'Masuoka, Hiroshi', 'Shimamoto, Sumi', 'Kanai, Mika']
animeStaff	[['Ooga, Shunji', 'Director'], ['Shimoyama, Shingo', 'Storyboard, Layout'], ['Ootani, Kazuo', 'Theme Song Arrangement'], ['Yonemura, Shouji', 'Screenplay']]
