animeTitle	b'The Kabocha Wine'
animeType	b'TV'
animeNumEpisode	95
releaseDate	
endDate	
animeNumMembers	
animeScore	6.55
animeUsers	286
animeRank	
animePopularity	
animeDescription	"b'Transfer student, Aoba Shunsuke, arrived at Sunshine School only to find the premises empty. He was secretly gleeful to be the first to reach the school, oblivious to the fact that it was Foundation Day and a rest day for the institution. At that moment, a big-sized ""L""(Eru) beauty by the name of Natsumi appeared before him and the two of them hit off together even though Shunsuke was so much smaller than her. Shunsuke\'s mother runs a women\'s apparel busines but the shop is in need of manpower. \n\nShunsuke offers to help out at the shop but fumbles a lot because he does not know how to interact with the ladies. Eru decides to step in and help out around the shop and this pleases Shunsuke\'s mother. This is a romance story that shares the joys and woes of the ""SL"" combi between Shunsuke and Eru.\n\n(Source: ANN)'"
animeRelated	[b'The Kabocha Wine', b'The Kabocha Wine: Nita no Aijou Monogatari']
animeCharacters	[b'Asaoka, Natsumi', b'Aoba, Shunsuke', b'Madoka', b'Komachi', b'Nitarou', b'Aoba, Hanae', b'Hayakawa, Kotarou', b'Akai, Monta', b'Kanzaki, Sumika']
animeVoices	[b'\nYokozawa, Keiko\nJapanese\n', b'\nFurukawa, Toshio\nJapanese\n', b'\nSuzuki, Tomiko\nJapanese\n', b'\nMasuyama, Eiko\nJapanese\n', b'\nOotake, Hiroshi\nJapanese\n', b'\nShioya, Yoku\nJapanese\n', b'\nTsuru, Hiromi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYabuki, Kimio\n\nDirector\n\n', b'\nYokozawa, Keiko\n\nTheme Song Performance\n\n', b'\nColumbia Yurikago Kai\n\nTheme Song Performance\n\n', b'\nYukimuro, Shunichi\n\nScreenplay\n\n']
