animeTitle	Youjuu Kyoushitsu Gaiden
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	5.11
animeUsers	387
animeRank	
animePopularity	10306
animeDescription	"From the radioactive emptiness of space comes the Demon Beast! A hideous alien monster, the Beast shares a psychic link with the beautiful Earth woman, Kayo. Bound by a forbidden past and a horrifying erotic encounter, she is destined to lure the Beast back to a helpless Earth. Her tortured soul cries out across dimensions, calling the Demon Beast to begin his reign of bloodlust, carnage, and terror!

(Source: AniDB)"
animeRelated	['Youjuu Kyoushitsu']
animeCharacters	['Ash', 'Asakura, Kayo', 'Ungyosai, Muneto']
animeVoices	['Takada, Yumi', 'Murozono, Takehiro']
animeStaff	[['Tsuruoka, Youta', 'Sound Director'], ['Maeda, Toshio', 'Original Creator'], ['Ooshiro, Tsutomu', 'Key Animation'], ['Sugiura, Shouichirou', 'Art Director']]
